group,file,ref_svg_size,ref_tvg_size,cur_svg_size,svgo_size,tvgt_size,tvg_size,zstd_size,brotli_size,zstd_dict_size,status,fail_stage,fail_detail
freesvg,1638862592editor FreeSVG updated Vector Broken phone.svg,1868,607,0,0,0,0,0,0,0,no_source,source,SVG not found in current source dataset
freesvg,chip.svg,5641,1555,0,0,0,0,0,0,0,no_source,source,SVG not found in current source dataset
freesvg,reddresslady-1919-remix.svg,29820,8509,0,0,0,0,0,0,0,no_source,source,SVG not found in current source dataset
freesvg,spatula.svg,10911,3682,0,0,0,0,0,0,0,no_source,source,SVG not found in current source dataset
freesvg,woman-in-blue-bikini.svg,158938,47225,0,0,0,0,0,0,0,no_source,source,SVG not found in current source dataset
material-design,abugida-devanagari.svg,332,178,354,265,946,175,157,149,136,ok,,
material-design,access-point-check.svg,768,368,780,638,0,0,0,0,0,fail,svg2tvgt,Error Context: 'm20.59 14.84 1.16 1.41L17 21l-2.75-3 1.16-1.16L17 18.43zm-1.52-9.91-1.41 1.41A7.96 7.96 0 0 1 20 12v.34c.68.25 1.33.62 1.88 1.09.07-.47.12-.93.12-1.43 0-2.76-1.12-5.26-2.93-7.07m-3.11
material-design,access-point-minus.svg,706,350,739,587,0,0,0,0,0,fail,svg2tvgt,Error Context: 'M16 12c0-1.11-.45-2.11-1.17-2.83l1.41-1.41A5.98 5.98 0 0 1 18 12c-.72 0-1.4.13-2.04.36.01-.12.04-.24.04-.36m4 .34̲c.68.25 1.33.62 1.88 1.09.07-.47.12-.93.…' Unhandled exception: System
material-design,access-point-plus.svg,730,374,762,606,0,0,0,0,0,fail,svg2tvgt,Error Context: 'M16 12c0-1.11-.45-2.11-1.17-2.83l1.41-1.41A5.98 5.98 0 0 1 18 12c-.72 0-1.4.13-2.04.36.01-.12.04-.24.04-.36m4 .34̲c.68.25 1.33.62 1.88 1.09.07-.47.12-.93.…' Unhandled exception: System
material-design,account-box-multiple-outline.svg,400,231,431,347,0,0,0,0,0,fail,svg2tvgt,Error Context: 'M4 6H2v14a2 2 0 0 0 2 2h14v-2H4zm14.5 8.25c0-1.5-3-2.25-4.5-2.25s-4.5.75-4.5 2.25V15h9M14 10.25̲c1.24 0 2.25-1.01 2.25-2.25S15.24 5.75 1…' Unhandled exception: System.InvalidOperationE
material-design,account-box-multiple.svg,323,211,339,279,0,0,0,0,0,fail,svg2tvgt,Error Context: 'M4 6H2v14a2 2 0 0 0 2 2h14v-2H4zm16-4a2 2 0 0 1 2 2v12a2 2 0 0 1-2 2H8a2 2 0 0 1-2-2V4a2 2 0 0 1 2-2zm-3 5a3 3 0 0 0-3-3 3 3 0 0 0-3 3 3 3 0 0 0 3 3 3 3 0 0 0 3-3m-9 8̲v1h12v-1c0-2-4-3
material-design,account-cog-outline.svg,1289,581,1296,924,0,0,0,0,0,fail,svg2tvgt,Error Context: 'M10 4a4 4 0 0 0-4 4 4 4 0 0 0 4 4 4 4 0 0 0 4-4 4 4 0 0 0-4-4m0 2̲a2 2 0 0 1 2 2 2 2 0 0 1-2 2 2 2 0 0 1-2…' Unhandled exception: System.InvalidOperationException: New MoveTo detected
material-design,account-convert-outline.svg,578,304,646,510,0,0,0,0,0,fail,svg2tvgt,Error Context: 'm12 0-.66.03 3.81 3.81L16.5 2.5c3.25 1.57 5.59 4.74 5.95 8.5h1.5C23.44 4.84 18.29 0 12 0m0 4̲c-1.93 0-3.5 1.57-3.5 3.5S10.07 11 12 11…' Unhandled exception: System.InvalidOperationExce
material-design,account-details-outline.svg,351,245,423,293,0,0,0,0,0,fail,svg2tvgt,Error Context: 'M11 9c0 1.66-1.34 3-3 3s-3-1.34-3-3 1.34-3 3-3 3 1.34 3 3m3 11̲H2v-2c0-2.21 2.69-4 6-4s6 1.79 6 4M7 9c0…' Unhandled exception: System.InvalidOperationException: New MoveTo detected wit
material-design,account-filter-outline.svg,489,289,509,382,0,0,0,0,0,fail,svg2tvgt,Error Context: 'm17 21 1.8 1.77c.5.5 1.2.1 1.2-.49V18l2.8-3.4A1 1 0 0 0 22 13h-7c-.8 0-1.3 1-.8 1.6L17 18zm-2-1H2v-3c0-2.7 5.3-4 8-4 .6 0 1.3.1 2.1.2-.2.6-.1 1.3.1 1.9-.7-.1-1.5-.2-2.2-.2-3 0-6.1 1.5-
