group,file,svg_size,tvg_size,ref_tvg_size,zstd_size,brotli_size,zstd_dict_size
zig,zig-mark-neg-white.svg,619,288,282,195,188,32
zig,zig-logo-dark.svg,1200,549,542,407,398,61
zig,zig-mark-neg-black.svg,622,288,282,196,182,27
zig,zig-logo-light.svg,1197,549,542,405,392,62
zig,zig-mark.svg,622,288,282,197,185,32
zig,zig-logo-neg-white.svg,1175,545,538,401,395,71
zig,zig-logo-neg-black.svg,1178,545,538,401,397,66
zig,zero.svg,26352,66962,11056,56513,51956,56814
w3c,no.svg,292,102,102,99,88,86
w3c,rubyforge.svg,231,96,96,96,87,80
w3c,adobe.svg,143,63,63,71,65,67
w3c,dh.svg,321,171,171,131,128,117
w3c,irony.svg,286,155,155,131,109,122
w3c,gcheck.svg,729,351,352,309,285,300
w3c,italian-flag.svg,244,100,100,84,78,79
w3c,alphachannel.svg,238,94,94,77,68,67
w3c,cc.svg,397,221,221,159,143,90
w3c,rest.svg,558,262,263,225,203,215
w3c,mudflap.svg,797,563,568,376,307,366
w3c,heliocentric.svg,656,344,344,163,165,149
w3c,vote.svg,747,501,506,345,280,325
w3c,pdftk.svg,274,151,151,124,110,26
w3c,cygwin.svg,335,157,157,118,112,26
w3c,myspace.svg,307,167,167,129,120,113
w3c,feedsync.svg,321,214,214,149,146,137
w3c,heart.svg,178,82,82,77,66,71
w3c,unicode.svg,224,133,133,112,101,106
w3c,couch.svg,783,461,461,334,293,310
w3c,wso2.svg,547,249,249,176,169,26
w3c,genshi.svg,290,189,190,150,126,141
w3c,bzr.svg,482,230,230,170,164,162
w3c,unicode-han.svg,377,105,106,118,110,26
w3c,duck.svg,414,229,234,176,164,175
w3c,ie-lock.svg,910,479,485,342,300,328
w3c,rack.svg,355,159,159,120,108,121
w3c,microformat.svg,329,251,251,183,173,168
w3c,http.svg,723,467,467,321,296,120
w3c,pull.svg,443,203,203,142,139,132
w3c,yinyang.svg,270,136,136,95,84,84
w3c,betterplace.svg,163,51,51,61,56,26
w3c,odf.svg,176,78,78,77,73,63
w3c,msie.svg,374,189,189,157,134,148
w3c,faux-art.svg,2456,667,666,639,621,639
w3c,mt.svg,267,136,137,113,107,99
w3c,utensils.svg,467,282,282,202,182,28
w3c,openid.svg,195,89,89,88,83,77
w3c,copyright.svg,202,76,76,73,62,60
w3c,integral.svg,452,294,295,221,179,28
w3c,osi.svg,178,64,64,70,64,62
w3c,star.svg,177,71,71,70,60,26
w3c,x11.svg,144,75,75,70,60,26
w3c,caution.svg,404,142,142,107,100,26
w3c,couchdb.svg,447,302,302,226,203,32
w3c,whatwg.svg,272,125,125,113,101,96
w3c,google.svg,331,159,159,139,125,125
w3c,semweb.svg,239,106,106,98,96,26
w3c,usaf.svg,522,319,324,236,203,44
w3c,facebook.svg,299,242,245,168,169,161
w3c,iw.svg,191,99,99,87,79,79
w3c,image.svg,157,54,54,63,57,71
w3c,openweb.svg,206,86,86,93,90,29
w3c,msft.svg,398,199,219,177,151,157
w3c,digg.svg,326,201,201,140,140,130
w3c,copyleft.svg,202,76,76,73,61,60
w3c,penrose-staircase.svg,3231,649,741,335,339,74
w3c,vmware.svg,274,243,243,159,145,159
w3c,wii.svg,318,181,181,143,131,131
w3c,wikimedia.svg,265,129,129,106,97,91
w3c,raleigh.svg,355,172,172,139,147,120
w3c,accessible.svg,731,466,474,268,239,244
w3c,yahoo.svg,443,287,291,222,187,215
w3c,ietf.svg,627,407,407,261,213,218
w3c,moonlight.svg,564,193,193,151,141,26
w3c,venus.svg,221,72,72,74,71,67
w3c,instiki.svg,965,645,645,438,344,429
w3c,mono.svg,402,287,287,204,189,125
w3c,rails.svg,902,570,570,388,344,234
w3c,poi.svg,211,82,82,69,61,62
w3c,ielock.svg,906,426,430,299,265,164
w3c,m.svg,339,238,238,168,154,162
w3c,beacon.svg,272,126,126,112,108,100
w3c,check.svg,296,202,203,157,130,154
w3c,erlang.svg,243,122,122,109,106,102
w3c,padlock.svg,535,272,276,184,182,31
material-design,scanner-off.svg,395,181,198,173,160,142
material-design,zodiac-scorpio.svg,401,215,220,159,149,127
material-design,briefcase-variant-off-outline.svg,459,253,266,211,200,85
material-design,receipt-outline.svg,349,159,208,106,95,89
material-design,radio.svg,309,176,181,132,135,103
material-design,reply.svg,166,64,65,69,59,58
material-design,calendar-alert.svg,254,151,160,118,114,74
material-design,vector-polyline-plus.svg,269,166,177,138,135,117
material-design,projector-screen-off-outline.svg,364,171,180,159,146,126
material-design,play.svg,131,31,36,44,36,39
material-design,arrow-collapse-left.svg,199,75,82,79,77,68
material-design,numeric-0-circle.svg,270,148,153,96,84,57
material-design,twitter.svg,679,265,270,267,252,27
material-design,chevron-down.svg,159,48,53,61,53,49
material-design,ufo.svg,251,100,101,103,103,92
material-design,surround-sound-2-0.svg,320,192,201,148,129,26
material-design,image-off.svg,257,115,124,114,108,88
material-design,window-open.svg,232,139,146,99,86,69
material-design,wall-sconce-outline.svg,189,86,95,87,86,69
material-design,mustache.svg,240,152,153,107,94,102
material-design,track-light.svg,375,144,159,157,136,111
material-design,archive-off.svg,256,112,121,115,103,84
material-design,folder-open.svg,227,108,109,101,89,26
